Exercise Name,Day last selected,Modality,Cardio or Strength,Impact?,Anterior/Posterior,Station Number,Equipment,,KEY
marching pelvic lift 120 degree bend in knee,,,,,,,,,
marching pelvic lift,,,,,,,,,
marching planks,,,,,,,,,
marching wall sit,,,,,,,,,
mb bent over row,,,,,,,,,
mb bicep curl,,,,,,,,,
mb bridge,,,,,,,,,
mb curl oh press tricep extension,,,,,,,,,
mb curl w front press,,,,,,,,,
mb curl w oh press,,,,,,,,,
mb diagonal chop left,,,,,,,,,
mb diagonal chop right,,,,,,,,,
mb front chop with jump,,,,,,,,,
mb front chop,,,,,,,,,
mb front press,,,,,,,,,
mb half squat hold w curl,,,,,,,,,
mb half squat hold,,,,,,,,,
mb half wall sit with curl and overhead press,,,,,,,,,
mb half wall sit with curl,,,,,,,,,
mb jump squat,,,,,,,,,
mb kneeling big circles,,,,,,,,,
mb lateral skip w front press,,,,,,,,,
mb low sumo jump squat,,,,,,,,,
mb low sumo squat,,,,,,,,,
mb lunge jump w oh press left,,,,,,,,,
mb lunge jump w oh press right leg,,,,,,,,,
mb lunge jump w oh press,,,,,,,,,
mb modified rolling push up,,,,,,,,,
mb modified traveling push up,,,,,,,,,
mb oh calf raise,,,,,,,,,
mb oh press w tricep ext,,,,,,,,,
mb oh reverse lunge,,,,,,,,,
mb oh stepping lunge,,,,,,,,,
mb out up press,,,,,,,,,
mb rdls,,,,,,,,,
mb reverse lunge w front raise,,,,,,,,,
mb reverse lunge w twist,,,,,,,,,
mb reverse lunge with oh press at top,,,,,,,,,
mb rolling push up,,,,,,,,,
mb russian twist,,,,,,,,,
mb single leg extension left,,,,,,,,,
mb single leg hip extension right,,,,,,,,,
mb single leg wall sit with curl and overhead press on left leg,,,,,,,,,
mb speed bicep curl,,,,,,,,,
mb speed squat,,,,,,,,,
mb squat curl oh press,,,,,,,,,
mb squat hold w curl and front press,,,,,,,,,
mb squat hold w curl,,,,,,,,,
mb squat hold,,,,,,,,,
mb squat jump w front press,,,,,,,,,
mb squat w bicep curl,,,,,,,,,
mb squat w front press at bottom,,,,,,,,,
mb squat w front press at top,,,,,,,,,
mb squat with oh press,,,,,,,,,
mb squat,,,,,,,,,
mb standing big circle,,,,,,,,,
mb stepping lunge w twist,,,,,,,,,
mb straight arm crunch with alternating hip flexion,,,,,,,,,
mb sumo jump squat,,,,,,,,,
mb sumo squat hold w curl,,,,,,,,,
mb sumo squat hold w front press,,,,,,,,,
mb sumo squat hold,,,,,,,,,
mb sumo squat w curl,,,,,,,,,
mb sumo squat,,,,,,,,,
mb traveling push up,,,,,,,,,
mb tricep extension,,,,,,,,,
mb up down w oh press,,,,,,,,,
mb up down,,,,,,,,,
mb v sit hold with front press and 1 foot down,,,,,,,,,
mb v sit hold with front press and both feet up,,,,,,,,,
mb v sit twist with 1 foot on floor,,,,,,,,,
mb v sit twist with both feet off floor,,,,,,,,,
mb wall sit with curl and overhead press,,,,,,,,,
mb wall sit with curl,,,,,,,,,
mb wall sit with front press,,,,,,,,,
modified half rom push up,,,,,,,,,
modified plank up push up combo,,,,,,,,,
modified plank up,,,,,,,,,
modified plank,,,,,,,,,
